id,gap_convdate_appcreated,days_active_app,utm_source,device_model,Android_app_version,device_price_cat,grade,current_streak,max_streak,total_timespent_last7D,comp_activity,comp_news,comp_reading,submitq_attempt,submitq_accuracy,total_navigations,total_visit,freados_earned,user_category
0023bac7-a5b5-4582-8552-e3b8a798f4fe,3,2,Club1BR,SM-N980F,5.7.1.6,High,Grade 3,0,0,20,0,0,0,0,0,3,1,0,332019
002abb82-c2c0-4475-81a5-bf9154414ec7,2,2,Club1BR,SM-J810G,5.7.1.6,Medium,Grade 4,0,1,22.98333333,0,0,0,0,0,35,0,0,xrgoup
003025a4-90d0-40ae-a0e3-b4cd3413e003,2,4,Club1BR,1920,5.7.1.6,Medium,Grade 6,0,0,14.8,0,0,0,0,0,24,0,0,rquvwc
00502572-c139-4223-953f-bcdcc701c526,124,1,Organic,SM-A505F,5.7.1.6,Medium,Grade 2,0,1,10.73333333,0,0,0,0,0,12,0,1000,#N/A
0060afb2-eb79-49b5-a135-6377f01fbc7a,12,2,Organic,ONEPLUS A6010,5.7.1.6,High,Grade 4,0,1,3.183333333,0,0,0,0,0,1,0,1000,#N/A
0090ccd0-65a9-4493-a27f-3cd791ed7d2f,19,7,Club1BR,SM-T595,5.7.1.6,High,Grade 3,0,0,2.666666667,0,0,0,0,0,2,0,650,165635
00b6618a-40c7-4cca-ae7e-d6544791a6eb,9,2,Club1BR,0,0,0,Grade 4,0,0,0,0,0,0,0,0,0,0,1150,869060
00e53c79-01a8-44c8-a8cd-b54a44cea046,15,4,Club1BR,"IPHONE9,3",0,High,Grade 1,0,0,0,0,0,0,0,0,0,0,0,bijwip
00e5c5b7-fcde-47a5-bb47-ca9e0aab0055,8,1,Club1BR,M2003J15SC,5.7.1.5,Medium,Grade 3,0,0,0,0,0,0,0,0,0,0,0,hzdieg
00f8eb12-c0c1-4c22-96c4-fd738e52510d,7,6,Organic,EB2101,5.7.1.6,High,Grade 3,0,0,10.21666667,0,0,0,0,0,3,1,0,#N/A
011d83c4-e999-4319-a02a-59be683c7441,3,3,Club1BR,RMX2061,5.7.1.6,High,Grade 2,0,1,11.36666667,0,0,0,0,0,9,0,100,fammam
012a0138-55bc-49c3-84d1-991d7351e18f,7,4,Club1BR,CPH2239,5.7.1.6,High,Grade 3,0,1,30.3,1,0,0,6,0.333333333,14,0,940,ahrdia
015538f4-7f84-43f6-989a-8b10b79d20ad,4,4,Club1BR,V2029,5.7.1.6,Medium,Grade 4,0,1,31.56666667,0,0,0,5,0.6,30,0,450,wawqhg
01791869-09c8-430a-b6e1-f5eeb9326bbb,672,3,Club1BR,1921,5.7.1.7,Medium,Grade 4,0,1,26.33333333,9,2,0,17,0.823529412,39,0,2840,933095
01afdf36-eb0d-4e2f-a4c9-399d01e51f9f,7,1,Organic,SM-M317F,5.7.1.6,Medium,Grade 1,0,0,20,0,0,0,1,1,6,0,3000,#N/A
022d2ed4-34a1-421e-b721-02e6ea6e57aa,1,9,Club1BR,0,0,0,Grade 3,0,2,53.63333333,0,2,0,7,0.285714286,103,2,3070,ftoqzy
024ac54c-a524-46bd-9910-d470bce99eb4,2,3,Club1BR,EB2101,5.7.1.6,High,Grade 3,0,0,20.83333333,0,0,0,0,0,0,0,0,avcrmk
027050fc-32c1-4c8a-a04b-4821a8d8d54f,1,3,Club1BR,SM-T295,5.7.1.7,Medium,Grade 5,4,4,46.48333333,0,1,0,9,0.777777778,74,0,4960,bijwip
027bd3ec-9ef1-46e8-a799-578dc3131082,4,3,Organic,X9009,5.7.1.6,High,Grade 4,1,2,7.833333333,0,0,0,5,0.2,7,0,550,#N/A
0291eafd-9609-4ec9-b546-106337ef448b,3,4,Club1BR,REDMI NOTE 9 PRO MAX,5.7.1.6,Medium,Grade 4,0,1,24.3,0,0,0,4,0.75,6,0,450,933095
029d82fa-4d5a-4853-a26a-157add6b2dbd,11,9,Club1BR,SM-M215G,5.7.1.7,Medium,Grade 5,5,5,18.63333333,1,8,0,12,0.25,36,2,900,ftoqzy
02a91881-d5ff-42ad-8a30-35311965264c,3,3,Club1BR,SM-A505F,5.7.1.6,Medium,Grade 5,0,0,14.1,0,0,0,0,0,14,0,100,xjcwit
02b214a5-bf89-40df-99d4-c16694cd57f6,3,6,Club1BR,SM-J210F,5.7.1.6,Medium,Grade 4,1,2,11.15,0,0,0,5,0.6,49,0,540,vslltm
02bf3db7-3c4c-4541-93a1-69a28429a845,2,3,Organic,SM-A225F,5.7.1.6,Medium,Grade 5,0,1,5.683333333,0,0,0,0,0,22,0,0,#N/A
